1;aliDias;2002-10-12;Alice Dias Santana ;alice@gmail.com;468.549.448-21;rua abc;234;08032327;bairro c;rua c;ap 12;11 98890-9672
2;reis;2020-02-22;rafael;reis@hotmail.com;468.549.448-21;city;543;06411300;bairro;spcity;complemento;11 98890-9672
1;RAUUL;2002-10-12;Raul Peterson;Moreiravinicius632@gmail.com;468.549.448-21;rua abc;545;08032-327;bairro 1;São Paulo;casa c;2327463432
2;aliceDias;2003-03-21;Alice Santana;santanaAlice@gmail.com;468.549.448-21;Rua A;123;08090234;bairro 1;cidade 1;AP 12;11 90223-7823
3;aliceDias;2003-03-21;Alice Santana;santanaAlice@gmail.com;468.549.448-21;Rua A;123;08090234;bairro 1;cidade 1;AP 12;11 90223-7823
4;Rauuuul;2002-10-12;Vinicius Moreira dos Santos;Moreiravinicius632@gmail.com;468.549.448-21;rua abc;545;08032-327;bairro 1;São Paulo;casa c;11988909672
5;rauull;2002-10-12;Vinicius Moreira dos Santos;moreiravinicius632@gmail.com;468.549.448-21;rua abc;545;08032327;bairro 1;São Paulo;casa c;11988909672
1;aliceDias;2003-03-21;Alice Santana;santanaAlice@gmail.com;468.549.448-21;Rua A;123;08090234;bairro 1;cidade 1;AP 12;11 90223-7823
1;aliceDias;2003-03-21;Alice Santana;santanaAlice@gmail.com;468.549.448-21;Rua A;123;08090234;bairro 1;cidade 1;AP 12;11 90223-7823
2;rauul;2002-10-12;Raul Peterson;vinicius.msantos@bandtec.com.br;468.549.448-21;rua abc;545;08032327;bairro 1;São Paulo;casa c;11988909672
1;aliceDias;2003-03-21;Alice Santana;santanaAlice@gmail.com;468.549.448-21;Rua A;123;08090234;bairro 1;cidade 1;AP 12;11 90223-7823
1;aliceDias;2003-03-21;Alice Santana;santanaAlice@gmail.com;468.549.448-21;Rua A;123;08090234;bairro 1;cidade 1;AP 12;11 90223-7823
1;aliceDias;2003-03-21;Alice Santana;santanaAlice@gmail.com;468.549.448-21;Rua A;123;08090234;bairro 1;cidade 1;AP 12;11 90223-7823
1;aliceDias;2003-03-21;Alice Santana;santanaAlice@gmail.com;468.549.448-21;Rua A;123;08090234;bairro 1;cidade 1;AP 12;11 90223-7823
